normalized,variants
ticagrelor,"[""Ticagrelor""]"
tolvaptan,"[""Tolvaptan""]"
ubrogepant,"[""Ubrogepant""]"
vinblastine,"[""Vinblastine""]"
vincristine,"[""Vincristine""]"
vincristine liposome,"[""Vincristine (liposome)""]"
vinorelbine,"[""Vinorelbine""]"
zafirlukast,"[""Zafirlukast""]"
zanubrutinib,"[""Zanubrutinib""]"
desogestrel,"[""Desogestrel""]"
azathioprine,"[""Azathioprine""]"
bacitracin,"[""Bacitracin""]"
colistimethate,"[""Colistimethate""]"
lutetium lu 177 dotatate,"[""Lutetium Lu 177 dotatate""]"
mercaptopurine,"[""Mercaptopurine""]"
moxetumomab pasudotox,"[""Moxetumomab Pasudotox""]"
valaciclovir,"[""Valaciclovir""]"
lumefantrine,"[""Lumefantrine""]"
artemether,"[""Artemether""]"
articaine,"[""Articaine""]"
oxitriptan,"[""Oxitriptan""]"
azelastine nasal,"[""Azelastine (nasal)""]"
baclofen,"[""Baclofen""]"
brivaracetam,"[""Brivaracetam""]"
salmon calcitonin,"[""Salmon calcitonin""]"
pentoxyverine,"[""Pentoxyverine""]"
carisoprodol,"[""Carisoprodol""]"
clofedanol,"[""Clofedanol""]"
chlorphenesin,"[""Chlorphenesin""]"
chlorzoxazone,"[""Chlorzoxazone""]"
dantrolene,"[""Dantrolene""]"
dexmedetomidine,"[""Dexmedetomidine""]"
fospropofol,"[""Fospropofol""]"
kava,"[""Kava""]"
ketamine,"[""Ketamine""]"
levetiracetam,"[""Levetiracetam""]"
mebrofenin,"[""Mebrofenin""]"
metaxalone,"[""Metaxalone""]"
methocarbamol,"[""Methocarbamol""]"
methsuximide,"[""Methsuximide""]"
metyrosine,"[""Metyrosine""]"
naratriptan,"[""Naratriptan""]"
nitrous oxide,"[""Nitrous oxide""]"
paramethadione,"[""Paramethadione""]"
perampanel,"[""Perampanel""]"
pergolide,"[""Pergolide""]"
phenacemide,"[""Phenacemide""]"
phensuximide,"[""Phensuximide""]"
rizatriptan,"[""Rizatriptan""]"
ropinirole,"[""Ropinirole""]"
rotigotine,"[""Rotigotine""]"
terbinafine,"[""Terbinafine""]"
trimethadione,"[""Trimethadione""]"
trimethobenzamide,"[""Trimethobenzamide""]"
tryptophan,"[""Tryptophan""]"
valerian,"[""Valerian""]"
yohimbine,"[""Yohimbine""]"
ziconotide,"[""Ziconotide""]"
zolmitriptan,"[""Zolmitriptan""]"
deferoxamine,"[""Deferoxamine""]"
anistreplase,"[""Anistreplase""]"
betrixaban,"[""Betrixaban""]"
brinzolamide ophthalmic,"[""Brinzolamide (ophthalmic)""]"
bromfenac ophthalmic,"[""Bromfenac (ophthalmic)""]"
chamomile,"[""Chamomile""]"
dalteparin,"[""Dalteparin""]"
defibrotide,"[""Defibrotide""]"
deoxycholic acid,"[""Deoxycholic acid""]"
dipyridamole,"[""Dipyridamole""]"
dorzolamide ophthalmic,"[""Dorzolamide (ophthalmic)""]"
drotrecogin alfa,"[""Drotrecogin alfa""]"
flurbiprofen ophthalmic,"[""Flurbiprofen (ophthalmic)""]"
heparin,"[""Heparin""]"
ibritumomab tiuxetan,"[""Ibritumomab tiuxetan""]"
icosapent,"[""Icosapent""]"
tositumomab i 131,"[""Tositumomab (I-131)""]"
nepafenac ophthalmic,"[""Nepafenac (ophthalmic)""]"
pentosan polysulfate,"[""Pentosan polysulfate""]"
pralatrexate,"[""Pralatrexate""]"
ramucirumab,"[""Ramucirumab""]"
reteplase,"[""Reteplase""]"
risedronic acid,"[""Risedronic acid""]"
streptokinase,"[""Streptokinase""]"
tenecteplase,"[""Tenecteplase""]"
tiludronic acid,"[""Tiludronic acid""]"
tinzaparin,"[""Tinzaparin""]"
tositumomab,"[""Tositumomab""]"
urokinase,"[""Urokinase""]"
ardeparin,"[""Ardeparin""]"
argatroban,"[""Argatroban""]"
bendamustine,"[""Bendamustine""]"
binimetinib,"[""Binimetinib""]"
caplacizumab,"[""Caplacizumab""]"
danaparoid,"[""Danaparoid""]"
diclofenac ophthalmic,"[""Diclofenac (ophthalmic)""]"
edoxaban,"[""Edoxaban""]"
enoxaparin,"[""Enoxaparin""]"
eptifibatide,"[""Eptifibatide""]"
ginger,"[""Ginger""]"
hemin,"[""Hemin""]"
lepirudin,"[""Lepirudin""]"
nintedanib,"[""Nintedanib""]"
niraparib,"[""Niraparib""]"
pentoxifylline,"[""Pentoxifylline""]"
regorafenib,"[""Regorafenib""]"
suprofen ophthalmic,"[""Suprofen (ophthalmic)""]"
tirofiban,"[""Tirofiban""]"
dexamethasone nasal,"[""Dexamethasone (nasal)""]"
triamcinolone nasal,"[""Triamcinolone (nasal)""]"
pectin,"[""Pectin""]"
atovaquone,"[""Atovaquone""]"
proguanil,"[""Proguanil""]"
pralidoxime,"[""Pralidoxime""]"
auranofin,"[""Auranofin""]"
avatrombopag,"[""Avatrombopag""]"
azelastine ophthalmic,"[""Azelastine (ophthalmic)""]"
phenazopyridine,"[""Phenazopyridine""]"
methenamine,"[""Methenamine""]"
benzocaine topical,"[""Benzocaine (topical)""]"
baloxavir marboxil,"[""Baloxavir marboxil""]"
cefaclor,"[""Cefaclor""]"
cefadroxil,"[""Cefadroxil""]"
cefdinir,"[""Cefdinir""]"
cefprozil,"[""Cefprozil""]"
ceftibuten,"[""Ceftibuten""]"
cefradine,"[""Cefradine""]"
clindamycin,"[""Clindamycin""]"
lincomycin,"[""Lincomycin""]"
sulfadiazine,"[""Sulfadiazine""]"
sulfamethizole,"[""Sulfamethizole""]"
sulfisoxazole,"[""Sulfisoxazole""]"
basiliximab,"[""Basiliximab""]"
berotralstat,"[""Berotralstat""]"
caspofungin,"[""Caspofungin""]"
dapsone topical,"[""Dapsone (topical)""]"
elvitegravir,"[""Elvitegravir""]"
exemestane,"[""Exemestane""]"
montelukast,"[""Montelukast""]"
praziquantel,"[""Praziquantel""]"
pretomanid,"[""Pretomanid""]"
relugolix,"[""Relugolix""]"
simeprevir,"[""Simeprevir""]"
thallous chloride,"[""Thallous Chloride""]"
beclomethasone dipropionate nasal,"[""Beclomethasone dipropionate (nasal)""]"
belatacept,"[""Belatacept""]"
belimumab,"[""Belimumab""]"
cabergoline,"[""Cabergoline""]"
ezetimibe,"[""Ezetimibe""]"
benzhydrocodone,"[""Benzhydrocodone""]"
hydrocortisone ophthalmic,"[""Hydrocortisone (ophthalmic)""]"
bictegravir,"[""Bictegravir""]"
emtricitabine,"[""Emtricitabine""]"
fludeoxyglucose 18f,"[""Fludeoxyglucose (18F)""]"
urea,"[""Urea""]"
aurothioglucose,"[""Aurothioglucose""]"
capecitabine,"[""Capecitabine""]"
disulfiram,"[""Disulfiram""]"
ethambutol,"[""Ethambutol""]"
ethionamide,"[""Ethionamide""]"
fludarabine,"[""Fludarabine""]"
fluorouracil,"[""Fluorouracil""]"
sodium aurothiomalate,"[""Sodium aurothiomalate""]"
diiodohydroxyquinoline,"[""Diiodohydroxyquinoline""]"
mebendazole,"[""Mebendazole""]"
pravastatin,"[""Pravastatin""]"
stavudine,"[""Stavudine""]"
zalcitabine,"[""Zalcitabine""]"
bivalirudin,"[""Bivalirudin""]"
bleomycin,"[""Bleomycin""]"
burosumab,"[""Burosumab""]"
deferiprone,"[""Deferiprone""]"
eltrombopag,"[""Eltrombopag""]"
omadacycline,"[""Omadacycline""]"
folic acid,"[""Folic acid""]"
penicillamine,"[""Penicillamine""]"
triethylenetetramine,"[""Triethylenetetramine""]"
bremelanotide,"[""Bremelanotide""]"
brodalumab,"[""Brodalumab""]"
goldenseal,"[""Goldenseal""]"
calcium glycerophosphate,"[""Calcium glycerophosphate""]"
prasterone enantate,"[""Prasterone enantate""]"
parathyroid hormone,"[""Parathyroid hormone""]"
teriparatide,"[""Teriparatide""]"
testolactone,"[""Testolactone""]"
cyclandelate,"[""Cyclandelate""]"
isoxsuprine,"[""Isoxsuprine""]"
nesiritide,"[""Nesiritide""]"
nitrous acid,"[""Nitrous acid""]"
tolazoline,"[""Tolazoline""]"
cangrelor,"[""Cangrelor""]"
levonordefrin,"[""Levonordefrin""]"
mepivacaine,"[""Mepivacaine""]"
carfilzomib,"[""Carfilzomib""]"
carmustine,"[""Carmustine""]"
cefazolin,"[""Cefazolin""]"
cefepime,"[""Cefepime""]"
cefixime,"[""Cefixime""]"
cefotaxime,"[""Cefotaxime""]"
cefotetan,"[""Cefotetan""]"
cefoxitin,"[""Cefoxitin""]"
ceftaroline fosamil,"[""Ceftaroline fosamil""]"
ceftazidime,"[""Ceftazidime""]"
ceftolozane,"[""Ceftolozane""]"
ceftriaxone,"[""Ceftriaxone""]"
clofibrate,"[""Clofibrate""]"
fenofibric acid,"[""Fenofibric acid""]"
chloroprocaine,"[""Chloroprocaine""]"
laronidase,"[""Laronidase""]"
mecasermin,"[""Mecasermin""]"
mecasermin rinfabate,"[""Mecasermin rinfabate""]"
sulfadoxine,"[""Sulfadoxine""]"
rifamycin,"[""Rifamycin""]"
cholic acid,"[""Cholic Acid""]"
ciclesonide nasal,"[""Ciclesonide (nasal)""]"
ciclesonide,"[""Ciclesonide""]"
creatine,"[""Creatine""]"
lomustine,"[""Lomustine""]"
melatonin,"[""Melatonin""]"
moricizine,"[""Moricizine""]"
tocainide,"[""Tocainide""]"
trimetrexate,"[""Trimetrexate""]"
varenicline,"[""Varenicline""]"
cinacalcet,"[""Cinacalcet""]"
citric acid,"[""Citric acid""]"
eravacycline,"[""Eravacycline""]"
fexofenadine,"[""Fexofenadine""]"
flunisolide nasal,"[""Flunisolide (nasal)""]"
fluorometholone ophthalmic,"[""Fluorometholone (ophthalmic)""]"
loteprednol ophthalmic,"[""Loteprednol (ophthalmic)""]"
mitoxantrone,"[""Mitoxantrone""]"
pomalidomide,"[""Pomalidomide""]"
talazoparib,"[""Talazoparib""]"
vorapaxar,"[""Vorapaxar""]"
picosulfuric acid,"[""Picosulfuric acid""]"
aztreonam,"[""Aztreonam""]"
benznidazole,"[""Benznidazole""]"
cefamandole,"[""Cefamandole""]"
cefmetazole,"[""Cefmetazole""]"
cefonicid,"[""Cefonicid""]"
cefoperazone,"[""Cefoperazone""]"
ceftizoxime,"[""Ceftizoxime""]"
microcrystalline cellulose,"[""Microcrystalline cellulose""]"
cefalotin,"[""Cefalotin""]"
cefapirin,"[""Cefapirin""]"
dalbavancin,"[""Dalbavancin""]"
daptomycin,"[""Daptomycin""]"
doripenem,"[""Doripenem""]"
loracarbef,"[""Loracarbef""]"
novobiocin,"[""Novobiocin""]"
oritavancin,"[""Oritavancin""]"
pyrazinamide,"[""Pyrazinamide""]"
quinupristin,"[""Quinupristin""]"
secnidazole,"[""Secnidazole""]"
spectinomycin,"[""Spectinomycin""]"
tedizolid,"[""Tedizolid""]"
tigecycline,"[""Tigecycline""]"
levomefolic acid,"[""Levomefolic acid""]"
leucovorin,"[""Leucovorin""]"
levomefolic acid calcium,"[""Levomefolic acid (calcium)""]"
cromoglicic acid,"[""Cromoglicic acid""]"
ursodeoxycholic acid,"[""Ursodeoxycholic acid""]"
human c1 esterase inhibitor,"[""Human C1-esterase inhibitor""]"
conestat alfa,"[""Conestat alfa""]"
dactinomycin,"[""Dactinomycin""]"
denileukin diftitox,"[""Denileukin diftitox""]"
dinoprostone topical,"[""Dinoprostone (topical)""]"
difenoxin,"[""Difenoxin""]"
dimercaprol,"[""Dimercaprol""]"
diphenoxylate,"[""Diphenoxylate""]"
dipivefrin ophthalmic,"[""Dipivefrin (ophthalmic)""]"
docusate,"[""Docusate""]"
lacosamide,"[""Lacosamide""]"
dornase alfa,"[""Dornase alfa""]"
dupilumab,"[""Dupilumab""]"
dyphylline,"[""Dyphylline""]"
grazoprevir,"[""Grazoprevir""]"
elbasvir,"[""Elbasvir""]"
elexacaftor,"[""Elexacaftor""]"
artesunate,"[""Artesunate""]"
lenalidomide,"[""Lenalidomide""]"
topotecan,"[""Topotecan""]"
pitavastatin,"[""Pitavastatin""]"
emapalumab,"[""Emapalumab""]"
enasidenib,"[""Enasidenib""]"
procaine,"[""Procaine""]"
ledipasvir,"[""Ledipasvir""]"
levocarnitine,"[""Levocarnitine""]"
lidocaine ophthalmic,"[""Lidocaine (ophthalmic)""]"
inulin,"[""Inulin""]"
sodium phosphate monobasic,"[""Sodium phosphate, monobasic""]"
lopinavir,"[""Lopinavir""]"
lubiprostone,"[""Lubiprostone""]"
lumacaftor,"[""Lumacaftor""]"
nalmefene,"[""Nalmefene""]"
phenyl salicylate,"[""Phenyl salicylate""]"
miconazole topical,"[""Miconazole (topical)""]"
imiglucerase,"[""Imiglucerase""]"
miglustat,"[""Miglustat""]"
guselkumab,"[""Guselkumab""]"
inebilizumab,"[""Inebilizumab""]"
ixekizumab,"[""Ixekizumab""]"
selenium,"[""Selenium""]"
mogamulizumab,"[""Mogamulizumab""]"
naxitamab,"[""Naxitamab""]"
omalizumab,"[""Omalizumab""]"
risankizumab,"[""Risankizumab""]"
rituximab,"[""Rituximab""]"
sarilumab,"[""Sarilumab""]"
satralizumab,"[""Satralizumab""]"
secukinumab,"[""Secukinumab""]"
siltuximab,"[""Siltuximab""]"
tildrakizumab,"[""Tildrakizumab""]"
tocilizumab,"[""Tocilizumab""]"
vedolizumab,"[""Vedolizumab""]"
propylthiouracil,"[""Propylthiouracil""]"
nedocromil,"[""Nedocromil""]"
netupitant,"[""Netupitant""]"
mestranol,"[""Mestranol""]"
riluzole,"[""Riluzole""]"
paritaprevir,"[""Paritaprevir""]"
onasemnogene abeparvovec,"[""Onasemnogene abeparvovec""]"
proparacaine ophthalmic,"[""Proparacaine (ophthalmic)""]"
pegaptanib ophthalmic,"[""Pegaptanib (ophthalmic)""]"
pegloticase,"[""Pegloticase""]"
pegademase,"[""Pegademase""]"
pegfilgrastim,"[""Pegfilgrastim""]"
peginesatide,"[""Peginesatide""]"
phylloquinone,"[""Phylloquinone""]"
plecanatide,"[""Plecanatide""]"
monopotassium phosphate,"[""Monopotassium phosphate""]"
prilocaine,"[""Prilocaine""]"
dalfopristin,"[""Dalfopristin""]"
sacubitril,"[""Sacubitril""]"
sodium chloride,"[""Sodium chloride""]"
vibegron,"[""Vibegron""]"
minoxidil topical,"[""Minoxidil (topical)""]"
pyrimethamine,"[""Pyrimethamine""]"
sodium sulfate,"[""Sodium sulfate""]"
velpatasvir,"[""Velpatasvir""]"
voxilaprevir,"[""Voxilaprevir""]"
tetracaine,"[""Tetracaine""]"
manganese sulfate,"[""Manganese (sulfate)""]"
copper gluconate,"[""Copper gluconate""]"
manganese chloride,"[""Manganese (chloride)""]"
tipiracil,"[""Tipiracil""]"
triheptanoin,"[""Triheptanoin""]"
vilanterol,"[""Vilanterol""]"
zanamivir,"[""Zanamivir""]"
potassium acetate,"[""Potassium acetate""]"
potassium perchlorate,"[""Potassium perchlorate""]"
methacholine,"[""Methacholine""]"
iron dextran,"[""Iron Dextran""]"
ixazomib,"[""Ixazomib""]"
gentamicin topical,"[""Gentamicin (topical)""]"
belinostat,"[""Belinostat""]"
cytarabine,"[""Cytarabine""]"
dacarbazine,"[""Dacarbazine""]"
elotuzumab,"[""Elotuzumab""]"
febuxostat,"[""Febuxostat""]"
gemcitabine,"[""Gemcitabine""]"
gemtuzumab ozogamicin,"[""Gemtuzumab ozogamicin""]"
methimazole,"[""Methimazole""]"
temozolomide,"[""Temozolomide""]"
naphazoline ophthalmic,"[""Naphazoline (ophthalmic)""]"
floxuridine,"[""Floxuridine""]"
hydroxyurea,"[""Hydroxyurea""]"
mechlorethamine,"[""Mechlorethamine""]"
mitomycin,"[""Mitomycin""]"
pentostatin,"[""Pentostatin""]"
plicamycin,"[""Plicamycin""]"
streptozocin,"[""Streptozocin""]"
oxybuprocaine ophthalmic,"[""Oxybuprocaine (ophthalmic)""]"
cinchocaine topical,"[""Cinchocaine (topical)""]"
tetracaine topical,"[""Tetracaine (topical)""]"
capsicum,"[""Capsicum""]"
clove,"[""Clove""]"
oxymetazoline ophthalmic,"[""Oxymetazoline (ophthalmic)""]"
oxymetazoline nasal,"[""Oxymetazoline (nasal)""]"
oxymetazoline topical,"[""Oxymetazoline (topical)""]"
brexucabtagene autoleucel,"[""Brexucabtagene autoleucel""]"
tafamidis,"[""Tafamidis""]"
oxyquinoline topical,"[""Oxyquinoline (topical)""]"
aminobenzoic acid,"[""Aminobenzoic acid""]"
tetryzoline nasal,"[""Tetryzoline (nasal)""]"
beta carotene,"[""Beta carotene""]"
ammonium chloride,"[""Ammonium chloride""]"
methionine,"[""Methionine""]"
dienogest,"[""Dienogest""]"
norgestimate,"[""Norgestimate""]"
cabotegravir,"[""Cabotegravir""]"
ferric carboxymaltose,"[""Ferric carboxymaltose""]"
ferric derisomaltose,"[""Ferric derisomaltose""]"
sodium ferric gluconate complex,"[""Sodium ferric gluconate complex""]"
ferumoxytol,"[""Ferumoxytol""]"
glecaprevir,"[""Glecaprevir""]"
hydroxyamphetamine ophthalmic,"[""Hydroxyamphetamine (ophthalmic)""]"
imipenem,"[""Imipenem""]"
ipecac,"[""Ipecac""]"
melphalan flufenamide,"[""Melphalan flufenamide""]"
tetryzoline ophthalmic,"[""Tetryzoline (ophthalmic)""]"
lutein,"[""Lutein""]"
saw palmetto,"[""Saw palmetto""]"
fosnetupitant,"[""Fosnetupitant""]"
levmetamfetamine nasal,"[""Levmetamfetamine (nasal)""]"
naphazoline nasal,"[""Naphazoline (nasal)""]"
phenylephrine nasal,"[""Phenylephrine (nasal)""]"
phenylephrine topical,"[""Phenylephrine (topical)""]"
propylhexedrine nasal,"[""Propylhexedrine (nasal)""]"
xylometazoline nasal,"[""Xylometazoline (nasal)""]"
nystatin,"[""Nystatin""]"
gadodiamide,"[""Gadodiamide""]"
travoprost,"[""Travoprost""]"
mupirocin,"[""Mupirocin""]"
famciclovir,"[""Famciclovir""]"
raloxifene,"[""Raloxifene""]"
gadoversetamide,"[""Gadoversetamide""]"
latanoprost,"[""Latanoprost""]"
ribavirin,"[""Ribavirin""]"
bimatoprost,"[""Bimatoprost""]"
desloratadine,"[""Desloratadine""]"
zopiclone,"[""Zopiclone""]"
finasteride,"[""Finasteride""]"
acenocoumarol,"[""Acenocoumarol""]"
nitrazepam,"[""Nitrazepam""]"
vitamin d,"[""Vitamin D""]"
clobetasol,"[""Clobetasol""]"
ciclopirox,"[""Ciclopirox""]"
pimecrolimus,"[""Pimecrolimus""]"
oseltamivir,"[""Oseltamivir""]"
adapalene,"[""Adapalene""]"
etomidate,"[""Etomidate""]"
acamprosate,"[""Acamprosate""]"
adefovir dipivoxil,"[""Adefovir dipivoxil""]"
imiquimod,"[""Imiquimod""]"
olopatadine,"[""Olopatadine""]"
fulvestrant,"[""Fulvestrant""]"
selenium sulfide,"[""Selenium Sulfide""]"
brinzolamide,"[""Brinzolamide""]"
loteprednol etabonate,"[""Loteprednol etabonate""]"
fluorometholone,"[""Fluorometholone""]"
tazarotene,"[""Tazarotene""]"
ketotifen,"[""Ketotifen""]"
fluocinonide,"[""Fluocinonide""]"
econazole,"[""Econazole""]"
nitric oxide,"[""Nitric Oxide""]"
chlorhexidine,"[""Chlorhexidine""]"
hydroxocobalamin,"[""Hydroxocobalamin""]"
tioconazole,"[""Tioconazole""]"
levobunolol,"[""Levobunolol""]"
brimonidine,"[""Brimonidine""]"
aminocaproic acid,"[""Aminocaproic acid""]"
tropicamide,"[""Tropicamide""]"
galactose,"[""Galactose""]"
azelastine,"[""Azelastine""]"
hydrocortisone butyrate,"[""Hydrocortisone butyrate""]"
calcipotriol,"[""Calcipotriol""]"
anastrozole,"[""Anastrozole""]"
flumazenil,"[""Flumazenil""]"
fluocinolone acetonide,"[""Fluocinolone acetonide""]"
gamma aminobutyric acid,"[""gamma-Aminobutyric acid""]"
dextran low molecular weight,"[""Dextran (low molecular weight)""]"
dextran 1,"[""Dextran (-1)""]"
dextran high molecular weight,"[""Dextran (high molecular weight)""]"
heparin flush,"[""Heparin (flush)""]"
emicizumab,"[""Emicizumab""]"
tranexamic acid,"[""Tranexamic acid""]"
darbepoetin alfa,"[""Darbepoetin alfa""]"
aprotinin,"[""Aprotinin""]"
protein c,"[""Protein C""]"
anti inhibitor coagulant complex,"[""Anti-inhibitor coagulant complex""]"
factor ix complex human,"[""Factor IX Complex (Human)""]"
erythropoietin,"[""Erythropoietin""]"
icatibant,"[""Icatibant""]"
von willebrand factor human,"[""Von Willebrand Factor Human""]"
coagulation factor viia recombinant human,"[""Coagulation factor VIIa Recombinant Human""]"
sugammadex,"[""Sugammadex""]"
coagulation factor x human,"[""Coagulation factor X human""]"
regadenoson,"[""Regadenoson""]"
fibrinogen human,"[""Fibrinogen human""]"
romiplostim,"[""Romiplostim""]"
etidocaine,"[""Etidocaine""]"
methyl salicylate topical,"[""Methyl salicylate (topical)""]"
econazole topical,"[""Econazole (topical)""]"
sofosbuvir,"[""Sofosbuvir""]"
coenzyme m,"[""Coenzyme M""]"
trastuzumab,"[""Trastuzumab""]"
sodium glycerophosphate,"[""Sodium glycerophosphate""]"
citrus bioflavonoids,"[""Citrus bioflavonoids""]"
chondroitin sulfate,"[""Chondroitin sulfate""]"
cranberry,"[""Cranberry""]"
dextrothyroxine,"[""Dextrothyroxine""]"
glucagon,"[""Glucagon""]"
glucosamine,"[""Glucosamine""]"
levamisole,"[""Levamisole""]"
papaya,"[""Papaya""]"
palifermin,"[""Palifermin""]"
sacituzumab govitecan,"[""Sacituzumab govitecan""]"
bromotheophylline,"[""Bromotheophylline""]"
trametinib,"[""Trametinib""]"
pyrophosphoric acid,"[""Pyrophosphoric acid""]"
hyaluronic acid,"[""Hyaluronic acid""]"
cetylpyridinium topical,"[""Cetylpyridinium (topical)""]"
bretylium,"[""Bretylium""]"
bupivacaine liposome,"[""Bupivacaine (liposome)""]"
tilmanocept,"[""Tilmanocept""]"
cyclopentolate ophthalmic,"[""Cyclopentolate (ophthalmic)""]"
histamine,"[""Histamine""]"
homatropine ophthalmic,"[""Homatropine (ophthalmic)""]"
tropicamide ophthalmic,"[""Tropicamide (ophthalmic)""]"
potassium iodide,"[""Potassium Iodide""]"
rasburicase,"[""Rasburicase""]"
silver nitrate ophthalmic,"[""Silver nitrate (ophthalmic)""]"
silver nitrate topical,"[""Silver nitrate (topical)""]"
silver sulfadiazine topical,"[""Silver sulfadiazine (topical)""]"
diphenhydramine topical,"[""Diphenhydramine (topical)""]"
azacitidine,"[""Azacitidine""]"
belantamab mafodotin,"[""Belantamab mafodotin""]"
benzonatate,"[""Benzonatate""]"
daratumumab,"[""Daratumumab""]"
decitabine,"[""Decitabine""]"
chloramphenicol ophthalmic,"[""Chloramphenicol (ophthalmic)""]"
olaratumab,"[""Olaratumab""]"
rimexolone ophthalmic,"[""Rimexolone (ophthalmic)""]"
trifluridine,"[""Trifluridine""]"
isatuximab,"[""Isatuximab""]"
ofatumumab,"[""Ofatumumab""]"
cytarabine liposomal,"[""Cytarabine (liposomal)""]"
filgrastim,"[""Filgrastim""]"
samarium 153sm lexidronam,"[""Samarium (153Sm) lexidronam""]"
sargramostim,"[""Sargramostim""]"
obinutuzumab,"[""Obinutuzumab""]"
axicabtagene ciloleucel,"[""Axicabtagene ciloleucel""]"
trastuzumab deruxtecan,"[""Trastuzumab deruxtecan""]"
lisocabtagene maraleucel,"[""Lisocabtagene maraleucel""]"
selinexor,"[""Selinexor""]"
tafasitamab,"[""Tafasitamab""]"
tisagenlecleucel,"[""Tisagenlecleucel""]"
aflibercept,"[""Aflibercept""]"
medrysone ophthalmic,"[""Medrysone (ophthalmic)""]"
phenylephrine otic,"[""Phenylephrine (otic)""]"
metyrapone,"[""Metyrapone""]"
benzalkonium topical,"[""Benzalkonium (topical)""]"
azelaic acid,"[""Azelaic acid""]"
