normalized,variants
tramadol,"[""Tramadol""]"
amphotericin b liposomal,"[""Amphotericin B (liposomal)""]"
beclomethasone dipropionate,"[""Beclomethasone dipropionate""]"
acetylcholine,"[""Acetylcholine""]"
acetylcysteine,"[""Acetylcysteine""]"
abarelix,"[""Abarelix""]"
adenosine,"[""Adenosine""]"
alendronic acid,"[""Alendronic acid""]"
alfuzosin,"[""Alfuzosin""]"
aminophylline,"[""Aminophylline""]"
amiodarone,"[""Amiodarone""]"
amisulpride,"[""Amisulpride""]"
amitriptyline,"[""Amitriptyline""]"
amoxapine,"[""Amoxapine""]"
anagrelide,"[""Anagrelide""]"
apalutamide,"[""Apalutamide""]"
apomorphine,"[""Apomorphine""]"
arsenic trioxide,"[""Arsenic trioxide""]"
astemizole,"[""Astemizole""]"
axitinib,"[""Axitinib""]"
azithromycin,"[""Azithromycin""]"
bacampicillin,"[""Bacampicillin""]"
bepridil,"[""Bepridil""]"
bicalutamide,"[""Bicalutamide""]"
bosutinib,"[""Bosutinib""]"
buprenorphine,"[""Buprenorphine""]"
cefditoren,"[""Cefditoren""]"
cefpodoxime,"[""Cefpodoxime""]"
cefuroxime,"[""Cefuroxime""]"
chloroquine,"[""Chloroquine""]"
citalopram,"[""Citalopram""]"
clofazimine,"[""Clofazimine""]"
clomipramine,"[""Clomipramine""]"
crizotinib,"[""Crizotinib""]"
cyanocobalamin,"[""Cyanocobalamin""]"
dacomitinib,"[""Dacomitinib""]"
dasatinib,"[""Dasatinib""]"
daunorubicin,"[""Daunorubicin""]"
daunorubicin liposomal,"[""Daunorubicin (liposomal)""]"
degarelix,"[""Degarelix""]"
delavirdine,"[""Delavirdine""]"
desipramine,"[""Desipramine""]"
deutetrabenazine,"[""Deutetrabenazine""]"
diclofenac,"[""Diclofenac""]"
disopyramide,"[""Disopyramide""]"
dofetilide,"[""Dofetilide""]"
donepezil,"[""Donepezil""]"
doxepin,"[""Doxepin""]"
doxepin topical,"[""Doxepin (topical)""]"
doxorubicin,"[""Doxorubicin""]"
doxorubicin liposomal,"[""Doxorubicin (liposomal)""]"
dronedarone,"[""Dronedarone""]"
droperidol,"[""Droperidol""]"
duloxetine,"[""Duloxetine""]"
encorafenib,"[""Encorafenib""]"
entecavir,"[""Entecavir""]"
entrectinib,"[""Entrectinib""]"
enzalutamide,"[""Enzalutamide""]"
eribulin,"[""Eribulin""]"
erlotinib,"[""Erlotinib""]"
erythromycin,"[""Erythromycin""]"
escitalopram,"[""Escitalopram""]"
etodolac,"[""Etodolac""]"
ezogabine,"[""Ezogabine""]"
fenoprofen,"[""Fenoprofen""]"
fingolimod,"[""Fingolimod""]"
flecainide,"[""Flecainide""]"
fluconazole,"[""Fluconazole""]"
fluoxetine,"[""Fluoxetine""]"
flurbiprofen,"[""Flurbiprofen""]"
flutamide,"[""Flutamide""]"
foscarnet,"[""Foscarnet""]"
fostemsavir,"[""Fostemsavir""]"
galantamine,"[""Galantamine""]"
gefitinib,"[""Gefitinib""]"
gilteritinib,"[""Gilteritinib""]"
glasdegib,"[""Glasdegib""]"
halofantrine,"[""Halofantrine""]"
haloperidol,"[""Haloperidol""]"
halothane,"[""Halothane""]"
hydroxychloroquine,"[""Hydroxychloroquine""]"
hydroxyzine,"[""Hydroxyzine""]"
ibuprofen,"[""Ibuprofen""]"
ibutilide,"[""Ibutilide""]"
idarubicin,"[""Idarubicin""]"
imipramine,"[""Imipramine""]"
indomethacin,"[""Indomethacin""]"
inotuzumab ozogamicin,"[""Inotuzumab ozogamicin""]"
itraconazole,"[""Itraconazole""]"
ivabradine,"[""Ivabradine""]"
ivosidenib,"[""Ivosidenib""]"
ketoconazole,"[""Ketoconazole""]"
ketoprofen,"[""Ketoprofen""]"
ketorolac,"[""Ketorolac""]"
lapatinib,"[""Lapatinib""]"
lasmiditan,"[""Lasmiditan""]"
lefamulin,"[""Lefamulin""]"
lenvatinib,"[""Lenvatinib""]"
levacetylmethadol,"[""Levacetylmethadol""]"
lofexidine,"[""Lofexidine""]"
maprotiline,"[""Maprotiline""]"
meclofenamic acid,"[""Meclofenamic acid""]"
mefenamic acid,"[""Mefenamic acid""]"
mefloquine,"[""Mefloquine""]"
methadone,"[""Methadone""]"
mecobalamin,"[""Mecobalamin""]"
mifepristone,"[""Mifepristone""]"
mirtazapine,"[""Mirtazapine""]"
naproxen,"[""Naproxen""]"
neratinib,"[""Neratinib""]"
nicotine,"[""Nicotine""]"
nilotinib,"[""Nilotinib""]"
nilutamide,"[""Nilutamide""]"
nortriptyline,"[""Nortriptyline""]"
oliceridine,"[""Oliceridine""]"
osilodrostat,"[""Osilodrostat""]"
osimertinib,"[""Osimertinib""]"
oxaliplatin,"[""Oxaliplatin""]"
oxaprozin,"[""Oxaprozin""]"
oxtriphylline,"[""Oxtriphylline""]"
panobinostat,"[""Panobinostat""]"
pazopanib,"[""Pazopanib""]"
pemetrexed,"[""Pemetrexed""]"
pimavanserin,"[""Pimavanserin""]"
pimozide,"[""Pimozide""]"
piroxicam,"[""Piroxicam""]"
pitolisant,"[""Pitolisant""]"
ponatinib,"[""Ponatinib""]"
posaconazole,"[""Posaconazole""]"
prasugrel,"[""Prasugrel""]"
primaquine,"[""Primaquine""]"
probenecid,"[""Probenecid""]"
probucol,"[""Probucol""]"
procainamide,"[""Procainamide""]"
propafenone,"[""Propafenone""]"
propofol,"[""Propofol""]"
dextropropoxyphene,"[""Dextropropoxyphene""]"
protriptyline,"[""Protriptyline""]"
quinidine,"[""Quinidine""]"
quinine,"[""Quinine""]"
raltegravir,"[""Raltegravir""]"
ramelteon,"[""Ramelteon""]"
ranolazine,"[""Ranolazine""]"
ribociclib,"[""Ribociclib""]"
rilpivirine,"[""Rilpivirine""]"
rivastigmine,"[""Rivastigmine""]"
romidepsin,"[""Romidepsin""]"
